"□ 신고취소, 해제, 변경 등 신고정보의 실시간 반영으로 시간대별 제공되는 정보의 내용이 상이할 수 있으니 이용시 참고하시기 바랍니다."
"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으며, 참고용으로만 활용하시기 바랍니다."
"□ 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항이 있을시 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"일자 : 20180301 ~ 20180331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"경기도 가평군 가평읍 달전리","281","0281","0000","세대넥스빌","58.95","201803","21~31","10,400","9","1996","달전로"
"경기도 가평군 가평읍 대곡리","360","0360","0000","우림필유 1단지","59.959","201803","11~20","21,700","4","2006","문화로"
"경기도 가평군 가평읍 읍내리","681-3","0681","0003","형진타워","59.94","201803","1~10","8,800","4","1991","가화로"
"경기도 가평군 가평읍 읍내리","681-3","0681","0003","형진타워","59.94","201803","1~10","10,000","8","1991","가화로"
"경기도 가평군 설악면 선촌리","663","0663","0000","북한강코아루","59.98","201803","1~10","22,000","14","2014","자잠로"
"경기도 가평군 설악면 선촌리","663","0663","0000","북한강코아루","84.65","201803","21~31","26,000","12","2014","자잠로"
"경기도 가평군 청평면 청평리","470-37","0470","0037","청구","84.84","201803","11~20","15,100","5","1998","경춘로"
"경기도 가평군 청평면 청평리","470-37","0470","0037","청구","59.83","201803","21~31","12,700","17","1998","경춘로"
"경기도 가평군 청평면 청평리","76-20","0076","0020","청일덱스빌(2동)","84.92","201803","1~10","13,000","1","2004","강변나루로"
"경기도 가평군 청평면 청평리","837","0837","0000","청평삼성쉐르빌","84.68","201803","21~31","23,000","13","2012","강변나루로"
"경기도 가평군 청평면 청평리","837","0837","0000","청평삼성쉐르빌","69.76","201803","21~31","19,500","5","2012","강변나루로"
"경기도 가평군 청평면 청평리","472","0472","0000","청평세양청마루","84.99","201803","1~10","18,800","11","2007","경춘로"
"경기도 가평군 청평면 청평리","472","0472","0000","청평세양청마루","84.99","201803","21~31","18,900","12","2007","경춘로"
"경기도 고양덕양구 고양동","454","0454","0000","고양동우방유쉘아파트","84.93","201803","11~20","25,350","9","2007","읍내로"
"경기도 고양덕양구 고양동","454","0454","0000","고양동우방유쉘아파트","59.99","201803","11~20","22,000","5","2007","읍내로"
"경기도 고양덕양구 고양동","454","0454","0000","고양동우방유쉘아파트","84.93","201803","21~31","24,800","15","2007","읍내로"
"경기도 고양덕양구 고양동","735","0735","0000","푸른마을1단지","84.921","201803","1~10","26,300","19","2008","푸른마을로"
"경기도 고양덕양구 고양동","735","0735","0000","푸른마을1단지","84.921","201803","1~10","27,000","25","2008","푸른마을로"
"경기도 고양덕양구 고양동","735","0735","0000","푸른마을1단지","84.921","201803","1~10","26,000","16","2008","푸른마을로"
"경기도 고양덕양구 고양동","735","0735","0000","푸른마을1단지","59.176","201803","11~20","23,300","6","2008","푸른마을로"
"경기도 고양덕양구 고양동","735","0735","0000","푸른마을1단지","84.921","201803","11~20","27,000","18","2008","푸른마을로"
"경기도 고양덕양구 고양동","735","0735","0000","푸른마을1단지","59.176","201803","21~31","23,000","17","2008","푸른마을로"
"경기도 고양덕양구 고양동","720","0720","0000","푸른마을2단지","114.75","201803","11~20","27,450","9","2004","푸른마을로"
"경기도 고양덕양구 고양동","719","0719","0000","푸른마을3단지","84.89","201803","1~10","23,200","11","2004","푸른마을로"
"경기도 고양덕양구 고양동","719","0719","0000","푸른마을3단지","59.98","201803","1~10","19,500","3","2004","푸른마을로"
"경기도 고양덕양구 고양동","719","0719","0000","푸른마을3단지","59.98","201803","21~31","19,500","3","2004","푸른마을로"
"경기도 고양덕양구 고양동","734","0734","0000","푸른마을4단지","92.978","201803","11~20","27,700","5","2008","푸른마을로"
"경기도 고양덕양구 고양동","730","0730","0000","푸른마을5단지","84.8265","201803","11~20","24,000","17","2007","푸른마을로"
"경기도 고양덕양구 고양동","730","0730","0000","푸른마을5단지","59.9768","201803","11~20","21,800","3","2007","푸른마을로"
"경기도 고양덕양구 고양동","730","0730","0000","푸른마을5단지","84.8265","201803","21~31","24,100","18","2007","푸른마을로"
"경기도 고양덕양구 고양동","724","0724","0000","푸른마을6단지","59.9768","201803","1~10","21,200","9","2007","푸른마을로"
"경기도 고양덕양구 고양동","724","0724","0000","푸른마을6단지","59.9768","201803","1~10","20,000","4","2007","푸른마을로"
"경기도 고양덕양구 고양동","724","0724","0000","푸른마을6단지","84.8265","201803","1~10","23,800","12","2007","푸른마을로"
"경기도 고양덕양구 고양동","724","0724","0000","푸른마을6단지","84.8265","201803","11~20","24,000","8","2007","푸른마을로"
"경기도 고양덕양구 고양동","724","0724","0000","푸른마을6단지","59.9768","201803","11~20","21,400","9","2007","푸른마을로"
"경기도 고양덕양구 고양동","724","0724","0000","푸른마을6단지","84.8265","201803","21~31","24,500","5","2007","푸른마을로"
"경기도 고양덕양구 고양동","240-6","0240","0006","현대1","59.36","201803","1~10","17,000","3","1997","읍내로"
"경기도 고양덕양구 고양동","240-6","0240","0006","현대1","84.36","201803","11~20","21,900","14","1997","읍내로"
"경기도 고양덕양구 고양동","255","0255","0000","현대2","59.945","201803","21~31","17,400","17","1997","읍내로"
"경기도 고양덕양구 관산동","1015","1015","0000","더퍼스트프라임","59.826","201803","1~10","21,300","10","2014","통일로"
"경기도 고양덕양구 관산동","178-57","0178","0057","새서울","45.72","201803","1~10","10,500","2","1983","통일로754번길"
"경기도 고양덕양구 관산동","178-57","0178","0057","새서울","45.72","201803","1~10","10,100","3","1983","통일로754번길"
