"□ 신고취소, 해제, 변경 등 신고정보의 실시간 반영으로 시간대별 제공되는 정보의 내용이 상이할 수 있으니 이용시 참고하시기 바랍니다."
"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으며, 참고용으로만 활용하시기 바랍니다."
"□ 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항이 있을시 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"일자 : 20180301 ~ 20180331"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"경기도 고양덕양구 성사동","696","696","0","삼성홈타워오피스텔","32.9","201803","1~10","9,500","5","2006","호국로"
"경기도 고양덕양구 성사동","696","696","0","삼성홈타워오피스텔","31.92","201803","11~20","9,500","13","2006","호국로"
"경기도 고양덕양구 주교동","610-6","610","6","스카이 팰리스","69.93","201803","1~10","24,400","10","2017","null"
"경기도 고양덕양구 행신동","763-2","763","2","백산오피스텔","41.92","201803","1~10","15,000","3","2002","용현로5번길"
"경기도 고양덕양구 행신동","758-1","758","1","송악모노빌","18","201803","1~10","6,600","8","2002","용현로"
"경기도 고양덕양구 화정동","975-3","975","3","동양트레벨2오피스텔","38.88","201803","11~20","13,700","16","2003","백양로"
"경기도 고양덕양구 화정동","965","965","0","오벨리스크","49.61","201803","1~10","17,900","11","2003","화정로"
"경기도 고양덕양구 화정동","965","965","0","오벨리스크","30.59","201803","1~10","14,200","21","2003","화정로"
"경기도 고양덕양구 화정동","965","965","0","오벨리스크","30.59","201803","1~10","14,000","22","2003","화정로"
"경기도 고양덕양구 화정동","984-7","984","7","우경싸이트빌","30.56","201803","1~10","9,900","7","2002","화신로272번길"
"경기도 고양덕양구 화정동","1000-1","1000","1","화정건영캐스빌플러스","43.68","201803","11~20","13,300","9","2004","화신로"
"경기도 고양덕양구 화정동","986-8","986","8","화정대우마이빌","31.92","201803","11~20","12,000","13","2003","백양로"
"경기도 고양덕양구 화정동","986-8","986","8","화정대우마이빌","31.92","201803","11~20","12,300","14","2003","백양로"
"경기도 고양덕양구 화정동","986-8","986","8","화정대우마이빌","23.95","201803","21~31","7,000","15","2003","백양로"
"경기도 고양일산동구 백석동","1239-2","1239","2","대방 샤인밸리","37.57","201803","1~10","15,000","8","2004","일산로"
"경기도 고양일산동구 백석동","1239-2","1239","2","대방 샤인밸리","37.57","201803","21~31","15,000","5","2004","일산로"
"경기도 고양일산동구 백석동","1325","1325","0","디아뜨 크리스탈","42.06","201803","1~10","13,900","4","2004","일산로"
"경기도 고양일산동구 백석동","1325","1325","0","디아뜨 크리스탈","34.18","201803","11~20","12,700","12","2004","일산로"
"경기도 고양일산동구 백석동","1325","1325","0","디아뜨 크리스탈","34.18","201803","11~20","13,200","6","2004","일산로"
"경기도 고양일산동구 백석동","1325","1325","0","디아뜨 크리스탈","34.18","201803","21~31","13,000","6","2004","일산로"
"경기도 고양일산동구 백석동","1329","1329","0","밀레니엄리젠시","104.8","201803","11~20","30,000","6","2002","호수로"
"경기도 고양일산동구 백석동","1309","1309","0","백석 우림보보카운티","25.9","201803","1~10","10,300","9","2005","일산로"
"경기도 고양일산동구 백석동","1309","1309","0","백석 우림보보카운티","22.82","201803","11~20","9,300","14","2005","일산로"
"경기도 고양일산동구 백석동","1309","1309","0","백석 우림보보카운티","22.82","201803","21~31","8,800","4","2005","일산로"
"경기도 고양일산동구 백석동","1288","1288","0","백석동 대우IAAN","73.73","201803","1~10","21,800","6","2005","강석로"
"경기도 고양일산동구 백석동","1288","1288","0","백석동 대우IAAN","75.48","201803","11~20","24,800","8","2005","강석로"
"경기도 고양일산동구 백석동","1302","1302","0","백석역 동문굿모닝힐","45.87","201803","1~10","13,450","7","2003","장백로"
"경기도 고양일산동구 백석동","1302","1302","0","백석역 동문굿모닝힐","45.87","201803","1~10","13,600","10","2003","장백로"
"경기도 고양일산동구 백석동","1302","1302","0","백석역 동문굿모닝힐","45.87","201803","1~10","13,500","6","2003","장백로"
"경기도 고양일산동구 백석동","1302","1302","0","백석역 동문굿모닝힐","45.87","201803","11~20","13,200","6","2003","장백로"
"경기도 고양일산동구 백석동","1302","1302","0","백석역 동문굿모닝힐","45.87","201803","21~31","13,600","10","2003","장백로"
"경기도 고양일산동구 백석동","1301","1301","0","백석역 동문굿모닝힐1 101동","45.87","201803","11~20","13,500","3","2003","장백로"
"경기도 고양일산동구 백석동","1301","1301","0","백석역 동문굿모닝힐1 101동","45.87","201803","11~20","13,900","8","2003","장백로"
"경기도 고양일산동구 백석동","1305","1305","0","백석역 동문굿모닝힐1 103동","45.87","201803","21~31","13,000","4","2003","장백로"
"경기도 고양일산동구 백석동","1319","1319","0","백석역동문굿모닝힐II(1319-0)","28.55","201803","1~10","12,650","9","2004","경의로"
"경기도 고양일산동구 백석동","1319","1319","0","백석역동문굿모닝힐II(1319-0)","29.33","201803","11~20","12,200","3","2004","경의로"
"경기도 고양일산동구 백석동","1319","1319","0","백석역동문굿모닝힐II(1319-0)","26.99","201803","21~31","12,570","5","2004","경의로"
"경기도 고양일산동구 백석동","1320","1320","0","백석역동문굿모닝힐II(1320-0)","28.55","201803","1~10","12,500","6","2004","호수로"
"경기도 고양일산동구 백석동","1320","1320","0","백석역동문굿모닝힐II(1320-0)","29.33","201803","1~10","13,000","6","2004","호수로"
"경기도 고양일산동구 백석동","1320","1320","0","백석역동문굿모닝힐II(1320-0)","28.55","201803","1~10","12,000","4","2004","호수로"
"경기도 고양일산동구 백석동","1320","1320","0","백석역동문굿모닝힐II(1320-0)","28.55","201803","1~10","12,500","3","2004","호수로"
"경기도 고양일산동구 백석동","1320","1320","0","백석역동문굿모닝힐II(1320-0)","26.99","201803","11~20","12,500","5","2004","호수로"
"경기도 고양일산동구 백석동","1320","1320","0","백석역동문굿모닝힐II(1320-0)","26.99","201803","11~20","12,550","9","2004","호수로"
"경기도 고양일산동구 백석동","1321","1321","0","백석역동문굿모닝힐II(1321-0)","31.67","201803","1~10","13,000","9","2004","호수로"
"경기도 고양일산동구 백석동","1322","1322","0","백석역동문굿모닝힐II(1322-0)","29.33","201803","1~10","12,300","8","2004","경의로"
"경기도 고양일산동구 백석동","1322","1322","0","백석역동문굿모닝힐II(1322-0)","35.18","201803","21~31","13,500","3","2004","경의로"
"경기도 고양일산동구 백석동","1241-2","1241","2","백석위브센티움","33.26","201803","1~10","12,700","2","2003","일산로"
"경기도 고양일산동구 백석동","1241-2","1241","2","백석위브센티움","33.26","201803","11~20","13,400","8","2003","일산로"
"경기도 고양일산동구 백석동","1241-2","1241","2","백석위브센티움","47.33","201803","21~31","14,400","3","2003","일산로"
"경기도 고양일산동구 백석동","1330","1330","0","브라운스톤일산","181.1","201803","11~20","44,500","9","2005","호수로"
"경기도 고양일산동구 백석동","1330","1330","0","브라운스톤일산","103.26","201803","21~31","28,000","14","2005","호수로"
"경기도 고양일산동구 백석동","1318","1318","0","비잔티움일산1단지","91.16","201803","21~31","26,900","3","2004","호수로"
"경기도 고양일산동구 백석동","1318-4","1318","4","비잔티움일산2단지","86.93","201803","1~10","27,300","7","2004","호수로"
"경기도 고양일산동구 백석동","1331","1331","0","영림브레아오피스텔","33.44","201803","11~20","13,000","5","2004","중앙로"
"경기도 고양일산동구 백석동","1331","1331","0","영림브레아오피스텔","33.44","201803","21~31","13,300","5","2004","중앙로"
"경기도 고양일산동구 백석동","1313","1313","0","일산백석더루벤스카운티","35.34","201803","1~10","16,850","6","2012","장백로"
"경기도 고양일산동구 백석동","1313","1313","0","일산백석더루벤스카운티","37.3","201803","11~20","15,500","3","2012","장백로"
"경기도 고양일산동구 백석동","1313","1313","0","일산백석더루벤스카운티","35.34","201803","11~20","16,100","3","2012","장백로"
"경기도 고양일산동구 백석동","1317","1317","0","현대밀라트(1317-0)","131.42","201803","1~10","36,500","6","2003","경의로"
"경기도 고양일산동구 백석동","1317","1317","0","현대밀라트(1317-0)","132.09","201803","1~10","35,000","2","2003","경의로"
"경기도 고양일산동구 백석동","1300","1300","0","현대밀라트2차(1300-0)","36.28","201803","11~20","14,300","3","2003","중앙로"
"경기도 고양일산동구 백석동","1300","1300","0","현대밀라트2차(1300-0)","29.5","201803","21~31","13,250","10","2003","중앙로"
"경기도 고양일산동구 백석동","1303","1303","0","현대밀라트2차(1303-0)","34","201803","1~10","14,400","6","2003","중앙로"
"경기도 고양일산동구 백석동","1303","1303","0","현대밀라트2차(1303-0)","34.38","201803","1~10","14,370","3","2003","중앙로"
"경기도 고양일산동구 백석동","1303","1303","0","현대밀라트2차(1303-0)","36.85","201803","1~10","14,800","8","2003","중앙로"
"경기도 고양일산동구 백석동","1309-1","1309","1","효성레제스오피스텔","43.67","201803","1~10","15,500","11","2004","일산로"
"경기도 고양일산동구 백석동","1309-1","1309","1","효성레제스오피스텔","42.6","201803","1~10","15,470","6","2004","일산로"
"경기도 고양일산동구 백석동","1309-1","1309","1","효성레제스오피스텔","43.15","201803","11~20","14,900","3","2004","일산로"
"경기도 고양일산동구 백석동","1309-1","1309","1","효성레제스오피스텔","43.67","201803","21~31","14,850","2","2004","일산로"
"경기도 고양일산동구 백석동","1309-1","1309","1","효성레제스오피스텔","43.15","201803","21~31","14,850","3","2004","일산로"
"경기도 고양일산동구 장항동","849","849","0","동양메이저타워","36.36","201803","1~10","8,300","6","2002","중앙로"
"경기도 고양일산동구 장항동","759-1","759","1","삼라 마이다스빌","53.96","201803","1~10","17,000","5","2003","무궁화로"
"경기도 고양일산동구 장항동","734","734","0","삼라마이다스Ⅲ","58.5","201803","21~31","16,500","6","2005","무궁화로"
"경기도 고양일산동구 장항동","752","752","0","삼성메르헨하우스","32.84","201803","1~10","12,800","6","2003","무궁화로"
"경기도 고양일산동구 장항동","752","752","0","삼성메르헨하우스","38.84","201803","1~10","13,450","13","2003","무궁화로"
"경기도 고양일산동구 장항동","752","752","0","삼성메르헨하우스","32.84","201803","21~31","11,000","3","2003","무궁화로"
"경기도 고양일산동구 장항동","854","854","0","신성하이네스트오피스텔","34.48","201803","1~10","14,700","7","2004","정발산로42번길"
"경기도 고양일산동구 장항동","854","854","0","신성하이네스트오피스텔","34.43","201803","11~20","13,200","6","2004","정발산로42번길"
"경기도 고양일산동구 장항동","854-1","854","1","양우드라마시티","33.97","201803","1~10","12,000","6","2003","백마로213번길"
"경기도 고양일산동구 장항동","854-1","854","1","양우드라마시티","33.97","201803","1~10","12,300","10","2003","백마로213번길"
"경기도 고양일산동구 장항동","854-1","854","1","양우드라마시티","33.97","201803","11~20","12,000","5","2003","백마로213번길"
"경기도 고양일산동구 장항동","854-1","854","1","양우드라마시티","33.97","201803","21~31","10,950","10","2003","백마로213번길"
