"□ 신고취소, 해제, 변경 등 신고정보의 실시간 반영으로 시간대별 제공되는 정보의 내용이 상이할 수 있으니 이용시 참고하시기 바랍니다."
"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으며, 참고용으로만 활용하시기 바랍니다."
"□ 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항이 있을시 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"일자 : 20180301 ~ 20180331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","134.3","201803","11~20","158,000","18","2004","개포로109길"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","35.87","201803","1~10","138,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","49.56","201803","1~10","178,000","2","1982","선릉로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","1~10","158,000","1","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","53.63","201803","1~10","165,000","3","1982","선릉로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","1~10","158,000","2","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","49.56","201803","1~10","175,000","4","1982","선릉로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","58.08","201803","1~10","180,000","2","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","42.55","201803","1~10","149,500","2","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","11~20","159,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","11~20","159,000","4","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","11~20","158,000","1","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","42.55","201803","11~20","145,000","1","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","58.08","201803","11~20","180,000","4","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201803","11~20","159,000","3","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201803","11~20","160,000","1","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","45.26","201803","11~20","147,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","41.98","201803","11~20","148,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","11~20","160,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201803","11~20","171,500","3","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","42.55","201803","11~20","147,000","1","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","42.55","201803","11~20","147,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","41.98","201803","11~20","145,500","2","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201803","11~20","156,000","2","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201803","11~20","162,000","4","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201803","11~20","160,000","1","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201803","21~31","162,000","4","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","21~31","171,000","3","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","42.55","201803","21~31","151,500","2","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","53.63","201803","21~31","172,000","4","1982","선릉로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","35.64","201803","21~31","130,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","58.08","201803","21~31","176,000","3","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","56.57","201803","21~31","184,000","2","1982","선릉로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","58.08","201803","21~31","190,000","5","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","21~31","174,000","1","1982","개포로"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.38","201803","21~31","160,000","3","1982","개포로"
"서울특별시 강남구 개포동","189","0189","0000","개포주공 4단지","42.55","201803","21~31","150,000","1","1982","삼성로"
"서울특별시 강남구 개포동","187","0187","0000","개포주공 5단지","61.19","201803","11~20","137,000","8","1983","삼성로4길"
"서울특별시 강남구 개포동","187","0187","0000","개포주공 5단지","61.19","201803","11~20","133,000","13","1983","삼성로4길"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","83.21","201803","1~10","167,000","7","1983","개포로"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","60.13","201803","11~20","135,000","9","1983","개포로"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","60.76","201803","1~10","128,000","1","1983","개포로"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","53.46","201803","11~20","120,400","1","1983","개포로"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","53.46","201803","21~31","115,500","5","1983","개포로"
"서울특별시 강남구 개포동","649","0649","0000","경남1","123.28","201803","1~10","200,000","10","1984","언주로"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","51.12","201803","1~10","99,000","12","1992","개포로109길"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","201803","11~20","87,500","9","1992","개포로109길"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","201803","11~20","87,800","9","1992","개포로109길"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","201803","1~10","99,000","4","1992","개포로109길"
"서울특별시 강남구 개포동","1164-7","1164","0007","아람손프라자/비바빌","59.96","201803","11~20","35,000","5","2001","논현로2길"
"서울특별시 강남구 개포동","654","0654","0000","현대2","84.81","201803","21~31","145,000","7","1986","언주로"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","31.585","201803","11~20","25,000","2","1996","강남대로112길"
"서울특별시 강남구 논현동","214-2","0214","0002","논현베르빌","111.36","201803","21~31","78,000","1","2002","학동로30길"
"서울특별시 강남구 논현동","108","0108","0000","논현웰스톤","83.64","201803","1~10","83,000","4","2009","학동로43길"
"서울특별시 강남구 논현동","275","0275","0000","동부센트레빌","84.9875","201803","1~10","123,000","4","2003","언주로116길"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","180.07","201803","1~10","238,000","7","2004","언주로130길"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","160.33","201803","1~10","195,000","6","2004","언주로130길"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","157.41","201803","11~20","198,500","7","2004","언주로130길"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","149.16","201803","21~31","220,000","9","2004","언주로130길"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트 1~6","84.92","201803","1~10","135,000","5","1985","언주로146길"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","201803","11~20","41,000","14","2004","학동로"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","201803","1~10","63,000","1","1997","강남대로146길"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","114.34","201803","11~20","127,000","6","1997","강남대로146길"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","84.52","201803","21~31","107,000","3","1997","강남대로146길"
"서울특별시 강남구 논현동","194-23","0194","0023","한화꿈에그린2차","104.084","201803","1~10","98,000","10","2006","봉은사로21길"
