"□ 신고취소, 해제, 변경 등 신고정보의 실시간 반영으로 시간대별 제공되는 정보의 내용이 상이할 수 있으니 이용시 참고하시기 바랍니다."
"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으며, 참고용으로만 활용하시기 바랍니다."
"□ 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항이 있을시 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"일자 : 20180301 ~ 20180331"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","201803","1~10","19,300","5","1997","개포로"
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","201803","1~10","20,500","17","1997","개포로"
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","201803","11~20","22,000","26","1997","개포로"
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","201803","21~31","19,450","13","1997","개포로"
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","201803","11~20","13,800","5","1987","도산대로46길"
"서울특별시 강남구 논현동","241-1","241","1","강남파라곤","75.94","201803","11~20","75,000","15","2007","학동로"
"서울특별시 강남구 논현동","241-1","241","1","강남파라곤","55.21","201803","21~31","63,000","13","2007","학동로"
"서울특별시 강남구 논현동","209","209","0","삼환 아르누보 3","22.09","201803","1~10","21,700","5","2005","학동로"
"서울특별시 강남구 논현동","209","209","0","삼환 아르누보 3","22.09","201803","11~20","22,500","6","2005","학동로"
"서울특별시 강남구 논현동","6-21","6","21","세양 APEX-TOWER","40.56","201803","21~31","28,000","12","2003","도산대로"
"서울특별시 강남구 대치동","945-29","945","29","CO-OP Residence/삼성역","13.96","201803","1~10","13,500","10","2004","테헤란로92길"
"서울특별시 강남구 대치동","945-29","945","29","CO-OP Residence/삼성역","13.96","201803","1~10","13,500","9","2004","테헤란로92길"
"서울특별시 강남구 대치동","945-29","945","29","CO-OP Residence/삼성역","13.96","201803","11~20","13,300","6","2004","테헤란로92길"
"서울특별시 강남구 대치동","945-29","945","29","CO-OP Residence/삼성역","13.96","201803","11~20","13,500","4","2004","테헤란로92길"
"서울특별시 강남구 대치동","945-29","945","29","CO-OP Residence/삼성역","13.96","201803","11~20","13,700","7","2004","테헤란로92길"
"서울특별시 강남구 대치동","945-29","945","29","CO-OP Residence/삼성역","13.96","201803","21~31","12,600","2","2004","테헤란로92길"
"서울특별시 강남구 대치동","891-26","891","26","대치동대우아이빌멤버스","29.56","201803","11~20","19,000","2","2003","삼성로85길"
"서울특별시 강남구 대치동","891-26","891","26","대치동대우아이빌멤버스","29.56","201803","11~20","19,000","2","2003","삼성로85길"
"서울특별시 강남구 대치동","891-26","891","26","대치동대우아이빌멤버스","31.58","201803","21~31","24,000","5","2003","삼성로85길"
"서울특별시 강남구 대치동","938","938","0","삼환 아르누보2","27.83","201803","1~10","33,800","6","2004","도곡로"
"서울특별시 강남구 대치동","890-59","890","59","선릉역 롯데골드로즈2","44.46","201803","1~10","33,000","19","2004","선릉로86길"
"서울특별시 강남구 대치동","890-59","890","59","선릉역 롯데골드로즈2","39","201803","11~20","28,000","14","2004","선릉로86길"
"서울특별시 강남구 대치동","889-53","889","53","선릉역 롯데골드로즈오피스텔","32","201803","1~10","21,300","16","2003","테헤란로64길"
"서울특별시 강남구 대치동","889-53","889","53","선릉역 롯데골드로즈오피스텔","32","201803","21~31","22,000","6","2003","테헤란로64길"
"서울특별시 강남구 대치동","890-49","890","49","선릉역대우아이빌","33.02","201803","21~31","24,300","3","2004","테헤란로64길"
"서울특별시 강남구 대치동","943-24","943","24","신안메트로칸","30.11","201803","1~10","27,000","23","2004","테헤란로88길"
"서울특별시 강남구 대치동","943-24","943","24","신안메트로칸","30.11","201803","21~31","27,800","20","2004","테헤란로88길"
"서울특별시 강남구 대치동","891-6","891","6","테헤란로 대우 아이빌","31.91","201803","11~20","21,000","2","2004","테헤란로"
"서울특별시 강남구 대치동","891-6","891","6","테헤란로 대우 아이빌","29.36","201803","11~20","20,000","2","2004","테헤란로"
"서울특별시 강남구 도곡동","168","168","0","에스케이리더스뷰","139.63","201803","1~10","118,000","9","2005","남부순환로"
"서울특별시 강남구 도곡동","168","168","0","에스케이리더스뷰","168.65","201803","11~20","145,000","18","2005","남부순환로"
"서울특별시 강남구 도곡동","467-24","467","24","우성캐릭터 199","45.93","201803","1~10","29,500","6","1998","언주로"
"서울특별시 강남구 도곡동","467-24","467","24","우성캐릭터 199","39.31","201803","1~10","20,000","7","1998","언주로"
"서울특별시 강남구 도곡동","467-24","467","24","우성캐릭터 199","35.2","201803","11~20","19,000","14","1998","언주로"
"서울특별시 강남구 도곡동","467-24","467","24","우성캐릭터 199","26.87","201803","11~20","16,700","19","1998","언주로"
"서울특별시 강남구 도곡동","467-24","467","24","우성캐릭터 199","45.93","201803","21~31","31,000","5","1998","언주로"
"서울특별시 강남구 도곡동","467-18","467","18","우성캐릭터-빌","78.99","201803","1~10","41,000","6","1998","언주로"
"서울특별시 강남구 도곡동","467-18","467","18","우성캐릭터-빌","33.43","201803","1~10","16,000","5","1998","언주로"
"서울특별시 강남구 도곡동","467-18","467","18","우성캐릭터-빌","31.5","201803","11~20","16,500","3","1998","언주로"
"서울특별시 강남구 도곡동","467-18","467","18","우성캐릭터-빌","30.5","201803","11~20","16,000","3","1998","언주로"
"서울특별시 강남구 도곡동","467","467","0","타워팰리스(467-0)","64.55","201803","1~10","82,000","10","2002","언주로30길"
"서울특별시 강남구 도곡동","467-17","467","17","타워팰리스(467-17)","79.86","201803","11~20","100,000","3","2003","언주로30길"
"서울특별시 강남구 도곡동","467-17","467","17","타워팰리스(467-17)","98.99","201803","21~31","137,500","10","2003","언주로30길"
"서울특별시 강남구 도곡동","467-17","467","17","타워팰리스(467-17)","79.04","201803","21~31","95,000","4","2003","언주로30길"
"서울특별시 강남구 삼성동","143-19","143","19","	(143-19)	","21.12","201803","21~31","12,000","8","1990","테헤란로69길"
"서울특별시 강남구 삼성동","142-3","142","3","LG선릉에클라트B","39.34","201803","1~10","30,000","2","2004","테헤란로63길"
"서울특별시 강남구 삼성동","142-3","142","3","LG선릉에클라트B","39.99","201803","11~20","31,700","3","2004","테헤란로63길"
"서울특별시 강남구 삼성동","157-8","157","8","LG트윈텔","42.18","201803","11~20","25,000","9","2000","삼성로96길"
"서울특별시 강남구 삼성동","158-10","158","10","마젤란21아스테리움","55.73","201803","21~31","50,000","10","2006","테헤란로87길"
"서울특별시 강남구 삼성동","45-9","45","9","봉은사로 461 주상복합 (주식회사 프레스티지)","38.66","201803","11~20","58,000","7","null","null"
"서울특별시 강남구 삼성동","158-4","158","4","삼성역 두산위브센티움","27.06","201803","1~10","25,700","10","2003","테헤란로83길"
"서울특별시 강남구 삼성동","44-16","44","16","아르헤 타워","37.89","201803","1~10","54,000","12","2016","봉은사로"
"서울특별시 강남구 삼성동","144-14","144","14","채널리저브","62.02","201803","11~20","67,300","2","2007","삼성로"
"서울특별시 강남구 삼성동","58-2","58","2","청담역 푸르지오시티","25.84","201803","1~10","38,500","10","2014","영동대로"
"서울특별시 강남구 삼성동","58-2","58","2","청담역 푸르지오시티","29.54","201803","1~10","43,000","16","2014","영동대로"
"서울특별시 강남구 삼성동","58-2","58","2","청담역 푸르지오시티","25.84","201803","21~31","39,500","10","2014","영동대로"
"서울특별시 강남구 세곡동","583","583","0","천석빌딩","42.5","201803","21~31","28,000","7","2016","헌릉로571길"
"서울특별시 강남구 수서동","716","716","0","사이룩스","38.02","201803","11~20","22,000","6","2003","광평로"
"서울특별시 강남구 수서동","716","716","0","사이룩스","32.58","201803","11~20","20,350","5","2003","광평로"
"서울특별시 강남구 수서동","716","716","0","사이룩스","30.25","201803","21~31","21,200","16","2003","광평로"
"서울특별시 강남구 수서동","713","713","0","수서현대벤쳐빌","45.38","201803","1~10","32,300","16","2002","밤고개로1길"
"서울특별시 강남구 수서동","713","713","0","수서현대벤쳐빌","63.58","201803","1~10","40,000","15","2002","밤고개로1길"
"서울특별시 강남구 수서동","713","713","0","수서현대벤쳐빌","31.72","201803","21~31","18,400","5","2002","밤고개로1길"
"서울특별시 강남구 수서동","713","713","0","수서현대벤쳐빌","37.63","201803","21~31","22,000","15","2002","밤고개로1길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","20.59","201803","1~10","8,000","2","2014","테헤란로14길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","19.91","201803","1~10","8,000","7","2014","테헤란로14길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","20.19","201803","1~10","8,000","5","2014","테헤란로14길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","20.59","201803","1~10","8,000","5","2014","테헤란로14길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","20.59","201803","1~10","6,500","6","2014","테헤란로14길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","19.91","201803","11~20","8,000","4","2014","테헤란로14길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","20.19","201803","11~20","8,000","7","2014","테헤란로14길"
"서울특별시 강남구 역삼동","735-15","735","15","(735-15)","20.19","201803","11~20","8,000","7","2014","테헤란로14길"
"서울특별시 강남구 역삼동","702-13","702","13","702-13(성지하이츠)","72.96","201803","21~31","22,000","6","1991","테헤란로"
"서울특별시 강남구 역삼동","837-18","837","18","강남역 서희스타힐스 오피스텔","24.56","201803","1~10","19,400","10","2012","도곡로3길"
"서울특별시 강남구 역삼동","837-18","837","18","강남역 서희스타힐스 오피스텔","31.5","201803","11~20","25,200","3","2012","도곡로3길"
"서울특별시 강남구 역삼동","825-20","825","20","강남역 센트럴 푸르지오 시티","23.23","201803","1~10","33,375","19","2015","null"
"서울특별시 강남구 역삼동","825-20","825","20","강남역 센트럴 푸르지오 시티","20.78","201803","1~10","27,000","9","2015","null"
"서울특별시 강남구 역삼동","825-20","825","20","강남역 센트럴 푸르지오 시티","24.61","201803","11~20","33,000","18","2015","null"
"서울특별시 강남구 역삼동","825-20","825","20","강남역 센트럴 푸르지오 시티","24.61","201803","21~31","32,500","18","2015","null"
"서울특별시 강남구 역삼동","825-20","825","20","강남역 센트럴 푸르지오 시티","20.78","201803","21~31","28,900","16","2015","null"
"서울특별시 강남구 역삼동","823-26","823","26","강남역두산위브센티움","31.26","201803","21~31","20,000","13","2004","테헤란로14길"
"서울특별시 강남구 역삼동","823-26","823","26","강남역두산위브센티움","28.71","201803","21~31","20,500","9","2004","테헤란로14길"
"서울특별시 강남구 역삼동","708-20","708","20","금천빌딩","29.72","201803","11~20","17,000","6","2005","테헤란로52길"
"서울특별시 강남구 역삼동","708-20","708","20","금천빌딩","29.72","201803","21~31","17,000","3","2005","테헤란로52길"
"서울특별시 강남구 역삼동","708-20","708","20","금천빌딩","29.72","201803","21~31","21,500","3","2005","테헤란로52길"
"서울특별시 강남구 역삼동","708-16","708","16","능현오피스텔","29.65","201803","1~10","22,000","7","2004","선릉로89길"
"서울특별시 강남구 역삼동","708-16","708","16","능현오피스텔","29.65","201803","1~10","21,500","5","2004","선릉로89길"
"서울특별시 강남구 역삼동","824-25","824","25","대우디오빌플러스","38.96","201803","11~20","27,100","8","2004","강남대로84길"
"서울특별시 강남구 역삼동","837-19","837","19","르-메이에르 타운","23.56","201803","1~10","12,200","4","1998","도곡로3길"
"서울특별시 강남구 역삼동","824-12","824","12","메가시티오피스텔","34.77","201803","1~10","24,500","7","2002","테헤란로4길"
"서울특별시 강남구 역삼동","705-1","705","1","빅토리아오피스텔","48.38","201803","11~20","32,500","11","1992","테헤란로"
"서울특별시 강남구 역삼동","837-17","837","17","삼성애니텔","53.02","201803","11~20","30,000","11","1999","도곡로3길"
"서울특별시 강남구 역삼동","702-2","702","2","삼성제일빌딩","34.13","201803","1~10","19,800","18","1994","테헤란로"
"서울특별시 강남구 역삼동","702-2","702","2","삼성제일빌딩","45.47","201803","11~20","29,200","18","1994","테헤란로"
"서울특별시 강남구 역삼동","702-2","702","2","삼성제일빌딩","45.47","201803","11~20","29,200","18","1994","테헤란로"
"서울특별시 강남구 역삼동","769-1","769","1","삼환 아르누보","26.38","201803","21~31","18,700","2","2003","역삼로"
"서울특별시 강남구 역삼동","832-33","832","33","성우스타우스오피스텔","34.67","201803","1~10","25,300","2","2004","역삼로4길"
"서울특별시 강남구 역삼동","832-33","832","33","성우스타우스오피스텔","32.03","201803","1~10","20,000","4","2004","역삼로4길"
"서울특별시 강남구 역삼동","832-33","832","33","성우스타우스오피스텔","32.03","201803","11~20","22,400","7","2004","역삼로4길"
"서울특별시 강남구 역삼동","832-33","832","33","성우스타우스오피스텔","32.03","201803","11~20","22,000","6","2004","역삼로4길"
"서울특별시 강남구 역삼동","832-33","832","33","성우스타우스오피스텔","32.03","201803","21~31","21,500","15","2004","역삼로4길"
"서울특별시 강남구 역삼동","832-33","832","33","성우스타우스오피스텔","32.03","201803","21~31","22,800","3","2004","역삼로4길"
